Date,Open,High,Low,Close,Adj Close,Volume
2018-10-04,108.160004,108.269997,106.610001,107.000000,106.688759,1874500
2018-10-05,107.199997,107.610001,105.870003,106.980003,106.668816,1919200
2018-10-08,106.839996,107.050003,104.529999,105.610001,105.302795,2100900
2018-10-09,105.800003,107.120003,105.470001,106.730003,106.419548,3048600
2018-10-10,106.500000,106.589996,103.760002,103.839996,103.537941,3386000
2018-10-11,103.559998,104.000000,100.500000,101.269997,100.975426,3517000
2018-10-12,102.849998,103.790001,101.800003,103.379997,103.079285,2901200
2018-10-15,102.900002,103.040001,101.839996,101.989998,101.693329,2239700
2018-10-16,102.949997,105.129997,102.589996,105.050003,104.744431,2347600
2018-10-17,104.629997,105.510002,103.839996,104.959999,104.654694,3521500
2018-10-18,106.000000,106.099998,100.500000,101.239998,100.945511,5531400
2018-10-19,101.199997,102.000000,99.800003,100.389999,100.097984,4260000
2018-10-22,100.470001,100.849998,97.669998,98.559998,98.273308,3649000
2018-10-23,97.360001,97.970001,95.629997,97.419998,97.136620,3383800
2018-10-24,97.739998,98.650002,95.669998,95.809998,95.531303,3315800
2018-10-25,96.540001,99.169998,96.000000,98.290001,98.004089,3465700
2018-10-26,97.010002,98.089996,95.930000,97.139999,96.857437,2730600
2018-10-29,98.320000,98.839996,95.440002,96.849998,96.568283,3195800
2018-10-30,97.139999,98.379997,96.480003,97.720001,97.435753,3178500
2018-10-31,98.629997,100.440002,98.080002,99.400002,99.110870,2865200
2018-11-01,99.389999,100.769997,98.750000,100.519997,100.227600,2269900
2018-11-02,101.290001,101.730003,99.980003,101.250000,100.955482,2601800
2018-11-05,101.550003,102.019997,101.029999,101.760002,101.464005,2067600
2018-11-06,101.610001,102.230003,100.519997,101.220001,100.925568,2461600
2018-11-07,102.029999,104.169998,101.849998,104.070000,103.767281,2059900
2018-11-08,104.019997,105.019997,103.949997,104.750000,104.445305,1619400
2018-11-09,104.410004,104.620003,103.250000,104.389999,104.086349,2609900
2018-11-12,104.139999,104.360001,101.160004,101.550003,101.254616,2338300
2018-11-13,101.889999,102.849998,100.300003,100.489998,100.197693,1986400
2018-11-14,101.360001,101.949997,100.059998,100.739998,100.446968,1889000
2018-11-15,100.080002,101.669998,98.709999,101.650002,101.354317,2265200
2018-11-16,101.250000,103.589996,101.209999,103.199997,102.899803,2767700
2018-11-19,103.260002,103.410004,100.629997,101.300003,101.005341,2861300
2018-11-20,100.860001,102.730003,100.580002,101.970001,101.673386,2773700
2018-11-21,102.260002,103.769997,101.919998,102.940002,102.640572,2126600
2018-11-23,101.900002,103.000000,101.900002,102.410004,102.112114,920100
2018-11-26,103.099998,103.449997,102.550003,103.279999,102.979576,2023400
2018-11-27,102.949997,104.019997,102.440002,104.000000,103.697487,1876900
2018-11-28,104.459999,107.089996,104.279999,106.970001,106.658844,2180000
2018-11-29,106.370003,108.760002,106.150002,107.940002,107.626022,2300400
2018-11-30,108.110001,109.669998,108.000000,109.540001,109.221367,3278500
2018-12-03,110.500000,110.860001,108.330002,108.639999,108.323990,4518500
2018-12-04,108.699997,108.900002,106.010002,106.300003,105.990799,4190000
2018-12-06,104.809998,105.529999,102.410004,104.860001,104.554985,3584300
2018-12-07,104.660004,105.470001,101.379997,101.870003,101.573685,2443100
2018-12-10,101.690002,102.089996,99.529999,101.720001,101.424110,3088800
2018-12-11,102.970001,103.550003,100.599998,101.320000,101.025276,1998900
2018-12-12,102.550003,104.059998,101.959999,102.029999,101.733208,2715100
2018-12-13,102.669998,104.000000,101.839996,102.500000,102.201843,2388400
2018-12-14,101.309998,101.839996,99.139999,100.400002,100.107956,2569700
2018-12-17,99.970001,101.449997,99.239998,100.370003,100.078041,4481800
2018-12-18,100.879997,101.279999,99.480003,100.720001,100.427025,3535300
2018-12-19,100.879997,103.110001,99.410004,100.650002,100.357231,4260100
2018-12-20,99.830002,100.370003,97.599998,98.360001,98.073883,5365100
2018-12-21,98.470001,100.730003,97.919998,98.480003,98.193542,6292600
2018-12-24,98.000000,98.269997,94.589996,94.849998,94.574097,3099200
2018-12-26,95.190002,100.000000,95.000000,99.959999,99.669235,2741800
2018-12-27,98.540001,101.500000,97.900002,101.500000,101.367004,2639300
2018-12-28,102.360001,103.050003,101.370003,101.830002,101.696571,2506900
2018-12-31,102.150002,103.639999,102.150002,103.120003,102.984886,1980300
2019-01-02,101.660004,102.169998,99.970001,100.500000,100.368317,2397100
2019-01-03,99.970001,101.489998,96.440002,97.620003,97.492096,3219100
2019-01-04,98.599998,101.370003,98.599998,100.449997,100.318375,2556700
2019-01-07,100.730003,101.650002,100.300003,100.860001,100.727844,2356200
2019-01-08,101.730003,103.480003,101.459999,103.430000,103.294479,3649200
2019-01-09,104.080002,105.320000,103.730003,104.360001,104.223259,3015600
2019-01-10,104.040001,105.430000,103.209999,105.360001,105.221947,1675400
2019-01-11,104.580002,105.290001,104.199997,105.260002,105.122078,1547700
2019-01-14,104.360001,104.980003,103.980003,104.089996,103.953606,1563400
2019-01-15,104.260002,105.480003,104.040001,105.040001,104.902367,2071100
2019-01-16,105.290001,105.750000,104.160004,104.489998,104.353088,2804500
2019-01-17,104.489998,105.919998,104.449997,105.570000,105.431671,3092100
2019-01-18,106.410004,107.690002,106.029999,107.449997,107.309204,3153000
2019-01-22,106.830002,106.900002,105.320000,106.410004,106.270576,2683300
2019-01-23,106.230003,106.970001,104.949997,106.129997,105.990936,1899700
2019-01-24,106.099998,106.500000,105.220001,106.050003,105.911049,1660800
2019-01-25,106.779999,107.650002,105.940002,106.330002,106.190681,2800500
2019-01-28,105.540001,106.040001,104.959999,106.029999,105.891068,2100500
2019-01-29,106.190002,107.800003,104.500000,105.269997,105.132065,3633100
2019-01-30,106.050003,109.480003,105.589996,109.010002,108.867165,3522900
2019-01-31,108.639999,111.099998,108.080002,110.919998,110.774658,2888400
2019-02-01,110.930000,111.000000,108.980003,109.300003,109.156792,2588100
2019-02-04,109.199997,109.589996,108.529999,109.589996,109.446404,1930600
2019-02-05,110.000000,110.690002,109.029999,109.510002,109.366516,2569900
2019-02-06,109.279999,109.930000,109.059998,109.660004,109.516319,1597700
2019-02-07,108.870003,109.699997,107.830002,108.589996,108.447716,1706400
2019-02-08,107.919998,109.360001,107.559998,109.250000,109.106850,1259500
2019-02-11,109.559998,109.930000,109.080002,109.680000,109.536285,1649100
2019-02-12,110.500000,111.500000,109.970001,111.370003,111.224075,1773300
2019-02-13,111.650002,111.790001,110.599998,111.220001,111.074272,1962000
2019-02-14,110.970001,111.089996,110.290001,110.360001,110.215401,2248000
2019-02-15,111.360001,111.589996,110.629997,111.239998,111.094238,4048900
2019-02-19,111.349998,111.820000,110.900002,111.320000,111.174141,2366000
2019-02-20,111.010002,112.230003,110.660004,112.199997,112.052986,1703600
2019-02-21,111.830002,112.470001,111.300003,112.430000,112.282684,1821700
2019-02-22,112.550003,113.629997,112.360001,113.480003,113.331314,1855800
2019-02-25,123.940002,124.099998,121.330002,123.150002,122.988640,8804800
2019-02-26,122.430000,123.410004,121.309998,123.209999,123.048561,6666000
2019-02-27,125.379997,127.529999,125.029999,126.389999,126.224396,15512100
2019-02-28,126.110001,127.839996,125.800003,127.019997,126.853561,6231300
2019-03-01,127.550003,128.210007,126.430000,127.769997,127.602585,3627800
2019-03-04,127.790001,128.389999,124.849998,125.889999,125.725044,4505800
2019-03-05,125.419998,126.610001,125.040001,125.349998,125.185753,3358400
2019-03-06,125.010002,125.269997,123.769997,124.639999,124.476685,3794200
2019-03-07,124.440002,125.000000,123.639999,124.459999,124.296921,2834000
2019-03-08,123.739998,125.150002,123.500000,125.040001,124.876160,2369100
2019-03-11,125.320000,126.809998,125.019997,126.330002,126.164474,3282300
2019-03-12,126.589996,127.800003,126.410004,127.440002,127.273018,2484800
2019-03-13,127.750000,128.949997,127.599998,128.130005,127.962120,2156200
2019-03-14,128.000000,128.259995,127.540001,128.110001,127.942139,2280600
2019-03-15,128.130005,129.419998,128.029999,128.690002,128.521378,5489400
2019-03-18,128.809998,129.190002,127.339996,128.070007,127.902199,2853100
2019-03-19,128.529999,129.940002,128.389999,129.860001,129.689850,3165200
2019-03-20,129.350006,130.179993,129.070007,129.740005,129.570007,3180000
2019-03-21,128.789993,132.429993,128.789993,132.289993,132.116653,3006200
2019-03-22,131.529999,132.600006,129.660004,129.690002,129.520065,2942900
2019-03-25,129.369995,130.220001,128.850006,129.460007,129.290375,1750300
